07:36:36 [INFO] Failed to extract font properties from /usr/share/fonts/truetype/noto/NotoColorEmoji.ttf: Can not load face (unknown file format; error code 0x2)
07:36:36 [INFO] generated new fontManager
07:36:36 [INFO] バックテスト期間: 2022-07-01 〜 2024-12-31
07:36:36 [INFO] STEP1: クライアント初期化
07:36:36 [INFO] STEP2: 上場銘柄取得
07:36:36 [INFO] J-Quants: 上場銘柄情報を取得中...
07:36:38 [INFO] 上場銘柄数: 4449
07:36:38 [INFO] STEP3: 財務データ取得 (2021-07-01 〜 2024-12-31)
07:36:38 [INFO] J-Quants: 財務データを取得中 (2021-07-01 〜 2024-12-31)...
07:36:39 [INFO]   fin_summary 逐次取得: 914 営業日分
07:38:15 [WARNING]   fin_summary 20211208 スキップ: HTTPSConnectionPool(host='api.jquants.com', port=443): Max retries exceeded with url: /v2/fins/summary?date=20211208 (Caused by ResponseError('too many 429 error responses'))
07:38:16 [WARNING]   fin_summary 20211209 スキップ: HTTPSConnectionPool(host='api.jquants.com', port=443): Max retries exceeded with url: /v2/fins/summary?date=20211209 (Caused by ResponseError('too many 429 error responses'))
07:38:17 [WARNING]   fin_summary 20211210 スキップ: HTTPSConnectionPool(host='api.jquants.com', port=443): Max retries exceeded with url: /v2/fins/summary?date=20211210 (Caused by ResponseError('too many 429 error responses'))
07:38:18 [WARNING]   fin_summary 20211213 スキップ: HTTPSConnectionPool(host='api.jquants.com', port=443): Max retries exceeded with url: /v2/fins/summary?date=20211213 (Caused by ResponseError('too many 429 error responses'))
07:38:19 [WARNING]   fin_summary 20211214 スキップ: HTTPSConnectionPool(host='api.jquants.com', port=443): Max retries exceeded with url: /v2/fins/summary?date=20211214 (Caused by ResponseError('too many 429 error responses'))
07:38:20 [WARNING]   fin_summary 20211215 スキップ: HTTPSConnectionPool(host='api.jquants.com', port=443): Max retries exceeded with url: /v2/fins/summary?date=20211215 (Caused by ResponseError('too many 429 error responses'))
07:38:21 [WARNING]   fin_summary 20211216 スキップ: HTTPSConnectionPool(host='api.jquants.com', port=443): Max retries exceeded with url: /v2/fins/summary?date=20211216 (Caused by ResponseError('too many 429 error responses'))
07:38:22 [WARNING]   fin_summary 20211217 スキップ: HTTPSConnectionPool(host='api.jquants.com', port=443): Max retries exceeded with url: /v2/fins/summary?date=20211217 (Caused by ResponseError('too many 429 error responses'))
07:38:23 [WARNING]   fin_summary 20211220 スキップ: HTTPSConnectionPool(host='api.jquants.com', port=443): Max retries exceeded with url: /v2/fins/summary?date=20211220 (Caused by ResponseError('too many 429 error responses'))
07:38:24 [WARNING]   fin_summary 20211221 スキップ: HTTPSConnectionPool(host='api.jquants.com', port=443): Max retries exceeded with url: /v2/fins/summary?date=20211221 (Caused by ResponseError('too many 429 error responses'))
07:38:25 [WARNING]   fin_summary 20211222 スキップ: HTTPSConnectionPool(host='api.jquants.com', port=443): Max retries exceeded with url: /v2/fins/summary?date=20211222 (Caused by ResponseError('too many 429 error responses'))
07:38:26 [WARNING]   fin_summary 20211223 スキップ: HTTPSConnectionPool(host='api.jquants.com', port=443): Max retries exceeded with url: /v2/fins/summary?date=20211223 (Caused by ResponseError('too many 429 error responses'))
07:38:27 [WARNING]   fin_summary 20211224 スキップ: HTTPSConnectionPool(host='api.jquants.com', port=443): Max retries exceeded with url: /v2/fins/summary?date=20211224 (Caused by ResponseError('too many 429 error responses'))
07:38:28 [WARNING]   fin_summary 20211227 スキップ: HTTPSConnectionPool(host='api.jquants.com', port=443): Max retries exceeded with url: /v2/fins/summary?date=20211227 (Caused by ResponseError('too many 429 error responses'))
07:38:29 [WARNING]   fin_summary 20211228 スキップ: HTTPSConnectionPool(host='api.jquants.com', port=443): Max retries exceeded with url: /v2/fins/summary?date=20211228 (Caused by ResponseError('too many 429 error responses'))
07:38:30 [WARNING]   fin_summary 20211229 スキップ: HTTPSConnectionPool(host='api.jquants.com', port=443): Max retries exceeded with url: /v2/fins/summary?date=20211229 (Caused by ResponseError('too many 429 error responses'))
07:38:31 [WARNING]   fin_summary 20211230 スキップ: HTTPSConnectionPool(host='api.jquants.com', port=443): Max retries exceeded with url: /v2/fins/summary?date=20211230 (Caused by ResponseError('too many 429 error responses'))
07:38:33 [WARNING]   fin_summary 20211231 スキップ: HTTPSConnectionPool(host='api.jquants.com', port=443): Max retries exceeded with url: /v2/fins/summary?date=20211231 (Caused by ResponseError('too many 429 error responses'))
07:38:34 [WARNING]   fin_summary 20220103 スキップ: HTTPSConnectionPool(host='api.jquants.com', port=443): Max retries exceeded with url: /v2/fins/summary?date=20220103 (Caused by ResponseError('too many 429 error responses'))
07:38:35 [WARNING]   fin_summary 20220104 スキップ: HTTPSConnectionPool(host='api.jquants.com', port=443): Max retries exceeded with url: /v2/fins/summary?date=20220104 (Caused by ResponseError('too many 429 error responses'))
07:38:36 [WARNING]   fin_summary 20220105 スキップ: HTTPSConnectionPool(host='api.jquants.com', port=443): Max retries exceeded with url: /v2/fins/summary?date=20220105 (Caused by ResponseError('too many 429 error responses'))
07:38:37 [WARNING]   fin_summary 20220106 スキップ: HTTPSConnectionPool(host='api.jquants.com', port=443): Max retries exceeded with url: /v2/fins/summary?date=20220106 (Caused by ResponseError('too many 429 error responses'))
07:38:38 [WARNING]   fin_summary 20220107 スキップ: HTTPSConnectionPool(host='api.jquants.com', port=443): Max retries exceeded with url: /v2/fins/summary?date=20220107 (Caused by ResponseError('too many 429 error responses'))
07:38:39 [WARNING]   fin_summary 20220110 スキップ: HTTPSConnectionPool(host='api.jquants.com', port=443): Max retries exceeded with url: /v2/fins/summary?date=20220110 (Caused by ResponseError('too many 429 error responses'))
07:38:40 [WARNING]   fin_summary 20220111 スキップ: HTTPSConnectionPool(host='api.jquants.com', port=443): Max retries exceeded with url: /v2/fins/summary?date=20220111 (Caused by ResponseError('too many 429 error responses'))
07:38:41 [WARNING]   fin_summary 20220112 スキップ: HTTPSConnectionPool(host='api.jquants.com', port=443): Max retries exceeded with url: /v2/fins/summary?date=20220112 (Caused by ResponseError('too many 429 error responses'))
07:38:42 [WARNING]   fin_summary 20220113 スキップ: HTTPSConnectionPool(host='api.jquants.com', port=443): Max retries exceeded with url: /v2/fins/summary?date=20220113 (Caused by ResponseError('too many 429 error responses'))
07:38:43 [WARNING]   fin_summary 20220114 スキップ: HTTPSConnectionPool(host='api.jquants.com', port=443): Max retries exceeded with url: /v2/fins/summary?date=20220114 (Caused by ResponseError('too many 429 error responses'))
07:38:44 [WARNING]   fin_summary 20220117 スキップ: HTTPSConnectionPool(host='api.jquants.com', port=443): Max retries exceeded with url: /v2/fins/summary?date=20220117 (Caused by ResponseError('too many 429 error responses'))
07:38:45 [WARNING]   fin_summary 20220118 スキップ: HTTPSConnectionPool(host='api.jquants.com', port=443): Max retries exceeded with url: /v2/fins/summary?date=20220118 (Caused by ResponseError('too many 429 error responses'))
07:38:46 [WARNING]   fin_summary 20220119 スキップ: HTTPSConnectionPool(host='api.jquants.com', port=443): Max retries exceeded with url: /v2/fins/summary?date=20220119 (Caused by ResponseError('too many 429 error responses'))
07:38:47 [WARNING]   fin_summary 20220120 スキップ: HTTPSConnectionPool(host='api.jquants.com', port=443): Max retries exceeded with url: /v2/fins/summary?date=20220120 (Caused by ResponseError('too many 429 error responses'))
07:38:49 [WARNING]   fin_summary 20220121 スキップ: HTTPSConnectionPool(host='api.jquants.com', port=443): Max retries exceeded with url: /v2/fins/summary?date=20220121 (Caused by ResponseError('too many 429 error responses'))
